Quarter,County,VALUE
2003Q3,Kilkenny,279
2003Q3,Laois,71
2003Q3,Longford,235
2003Q3,Louth,450
2003Q3,Meath,865
2003Q3,Offaly,437
2003Q3,Westmeath,423
2003Q3,Wexford,416
2003Q3,Wicklow,548
2003Q3,Clare,242
2003Q3,Cork,1300
2003Q3,Kerry,282
2003Q3,Limerick,1049
2003Q3,Tipperary,467
2003Q3,Waterford,366
2003Q3,Galway,845
2003Q3,Leitrim,115
2003Q3,Mayo,217
2003Q3,Roscommon,148
2003Q3,Sligo,172
2003Q3,Cavan,179
2003Q3,Donegal,320
2003Q3,Monaghan,5
2003Q4,All Counties,14290
2003Q4,Carlow,154
2003Q4,Dublin,4468
2003Q4,Kildare,877
2003Q4,Kilkenny,165
2003Q4,Laois,345
2003Q4,Longford,118
2003Q4,Louth,395
2003Q4,Meath,785
2003Q4,Offaly,177
2003Q4,Westmeath,491
2003Q4,Wexford,291
2003Q4,Wicklow,774
2003Q4,Clare,268
2003Q4,Cork,1337
2003Q4,Kerry,402
2003Q4,Limerick,1032
2003Q4,Tipperary,203
2003Q4,Waterford,424
2003Q4,Galway,524
2003Q4,Leitrim,184
2003Q4,Mayo,290
2003Q4,Roscommon,88
2003Q4,Sligo,150
2003Q4,Cavan,174
2003Q4,Donegal,138
2003Q4,Monaghan,36
2004Q1,All Counties,15391
2004Q1,Carlow,248
2004Q1,Dublin,4402
2004Q1,Kildare,549
2004Q1,Kilkenny,261
2004Q1,Laois,236
2004Q1,Longford,295
2004Q1,Louth,426
2004Q1,Meath,1057
2004Q1,Offaly,167
2004Q1,Westmeath,409
2004Q1,Wexford,627
2004Q1,Wicklow,471
2004Q1,Clare,299
2004Q1,Cork,1691
2004Q1,Kerry,394
2004Q1,Limerick,1022
2004Q1,Tipperary,442
2004Q1,Waterford,493
2004Q1,Galway,570
2004Q1,Leitrim,115
2004Q1,Mayo,264
2004Q1,Roscommon,255
2004Q1,Sligo,168
2004Q1,Cavan,239
2004Q1,Donegal,265
2004Q1,Monaghan,26
2004Q2,All Counties,17965
2004Q2,Carlow,292
2004Q2,Dublin,5349
2004Q2,Kildare,846
2004Q2,Kilkenny,370
2004Q2,Laois,719
2004Q2,Longford,113
2004Q2,Louth,426
2004Q2,Meath,728
2004Q2,Offaly,455
2004Q2,Westmeath,309
2004Q2,Wexford,527
2004Q2,Wicklow,235
2004Q2,Clare,546
2004Q2,Cork,2425
2004Q2,Kerry,424
2004Q2,Limerick,536
2004Q2,Tipperary,613
2004Q2,Waterford,531
2004Q2,Galway,849
2004Q2,Leitrim,227
2004Q2,Mayo,424
2004Q2,Roscommon,287
2004Q2,Sligo,358
2004Q2,Cavan,207
2004Q2,Donegal,148
2004Q2,Monaghan,21
2004Q3,All Counties,13798
2004Q3,Carlow,108
2004Q3,Dublin,4324
2004Q3,Kildare,865
2004Q3,Kilkenny,261
2004Q3,Laois,199
2004Q3,Longford,229
2004Q3,Louth,305
2004Q3,Meath,711
2004Q3,Offaly,239
2004Q3,Westmeath,333
2004Q3,Wexford,609
2004Q3,Wicklow,513
2004Q3,Clare,268
2004Q3,Cork,1128
2004Q3,Kerry,521
2004Q3,Limerick,364
2004Q3,Tipperary,467
2004Q3,Waterford,363
2004Q3,Galway,568
2004Q3,Leitrim,178
2004Q3,Mayo,254
2004Q3,Roscommon,181
2004Q3,Sligo,295
2004Q3,Cavan,267
2004Q3,Donegal,200
2004Q3,Monaghan,48
2004Q4,All Counties,13628
2004Q4,Carlow,199
2004Q4,Dublin,4639
2004Q4,Kildare,698
2004Q4,Kilkenny,282
2004Q4,Laois,414
2004Q4,Longford,71
2004Q4,Louth,296
2004Q4,Meath,851
2004Q4,Offaly,199
2004Q4,Westmeath,209
2004Q4,Wexford,389
2004Q4,Wicklow,261
2004Q4,Clare,365
2004Q4,Cork,1181
2004Q4,Kerry,423
2004Q4,Limerick,394
2004Q4,Tipperary,363
2004Q4,Waterford,384
2004Q4,Galway,541
2004Q4,Leitrim,133
2004Q4,Mayo,190
2004Q4,Roscommon,239
2004Q4,Sligo,135
2004Q4,Cavan,393
2004Q4,Donegal,300
2004Q4,Monaghan,79
2005Q1,All Counties,16037
2005Q1,Carlow,282
2005Q1,Dublin,4525
2005Q1,Kildare,805
2005Q1,Kilkenny,588
2005Q1,Laois,401
2005Q1,Longford,118
2005Q1,Louth,461
2005Q1,Meath,1183
2005Q1,Offaly,192
2005Q1,Westmeath,316
2005Q1,Wexford,527
2005Q1,Wicklow,419
2005Q1,Clare,494
2005Q1,Cork,1916
2005Q1,Kerry,352
2005Q1,Limerick,414
2005Q1,Tipperary,521
2005Q1,Waterford,347
2005Q1,Galway,542
2005Q1,Leitrim,204
2005Q1,Mayo,296
2005Q1,Roscommon,358
2005Q1,Sligo,290
2005Q1,Cavan,218
2005Q1,Donegal,224
2005Q1,Monaghan,44
2005Q2,All Counties,16241
2005Q2,Carlow,292
2005Q2,Dublin,3871
2005Q2,Kildare,1297
2005Q2,Kilkenny,488
2005Q2,Laois,644
2005Q2,Longford,155
2005Q2,Louth,337
2005Q2,Meath,852
2005Q2,Offaly,367
2005Q2,Westmeath,169
2005Q2,Wexford,624
2005Q2,Wicklow,358
2005Q2,Clare,270
2005Q2,Cork,1460
2005Q2,Kerry,552
2005Q2,Limerick,924
2005Q2,Tipperary,486
2005Q2,Waterford,604
2005Q2,Galway,544
2005Q2,Leitrim,218
2005Q2,Mayo,397
2005Q2,Roscommon,270
2005Q2,Sligo,409
2005Q2,Cavan,299
2005Q2,Donegal,230
2005Q2,Monaghan,124
2005Q3,All Counties,14953
2005Q3,Carlow,254
2005Q3,Dublin,3094
2005Q3,Kildare,963
2005Q3,Kilkenny,343
2005Q3,Laois,422
2005Q3,Longford,169
2005Q3,Louth,289
2005Q3,Meath,724
2005Q3,Offaly,197
2005Q3,Westmeath,347
2005Q3,Wexford,672
2005Q3,Wicklow,364
2005Q3,Clare,448
2005Q3,Cork,2184
2005Q3,Kerry,525
2005Q3,Limerick,429
2005Q3,Tipperary,461
2005Q3,Waterford,326
2005Q3,Galway,595
2005Q3,Leitrim,257
2005Q3,Mayo,431
2005Q3,Roscommon,488
2005Q3,Sligo,247
2005Q3,Cavan,244
2005Q3,Donegal,369
2005Q3,Monaghan,111
2005Q4,All Counties,15053
2005Q4,Carlow,110
2005Q4,Dublin,4166
2005Q4,Kildare,935
2005Q4,Kilkenny,151
2005Q4,Laois,479
2005Q4,Longford,167
2005Q4,Louth,436
2005Q4,Meath,697
2005Q4,Offaly,182
2005Q4,Westmeath,239
2005Q4,Wexford,355
2005Q4,Wicklow,295
2005Q4,Clare,325
2005Q4,Cork,2185
2005Q4,Kerry,583
2005Q4,Limerick,418
2005Q4,Tipperary,481
2005Q4,Waterford,249
2005Q4,Galway,875
2005Q4,Leitrim,137
2005Q4,Mayo,315
2005Q4,Roscommon,311
2005Q4,Sligo,267
2005Q4,Cavan,372
2005Q4,Donegal,167
2005Q4,Monaghan,156
2006Q1,All Counties,18439
2006Q1,Carlow,270
2006Q1,Dublin,5139
2006Q1,Kildare,1117
2006Q1,Kilkenny,501
2006Q1,Laois,461
2006Q1,Longford,320
2006Q1,Louth,283
2006Q1,Meath,892
2006Q1,Offaly,288
2006Q1,Westmeath,382
2006Q1,Wexford,790
2006Q1,Wicklow,283
2006Q1,Clare,539
2006Q1,Cork,1544
2006Q1,Kerry,378
2006Q1,Limerick,780
2006Q1,Tipperary,610
2006Q1,Waterford,379
2006Q1,Galway,1126
2006Q1,Leitrim,234
2006Q1,Mayo,324
2006Q1,Roscommon,266
2006Q1,Sligo,387
2006Q1,Cavan,422
2006Q1,Donegal,405
2006Q1,Monaghan,319
2006Q2,All Counties,18276
2006Q2,Carlow,169
2006Q2,Dublin,5592
2006Q2,Kildare,1003
2006Q2,Kilkenny,283
2006Q2,Laois,655
2006Q2,Longford,603
2006Q2,Louth,145
2006Q2,Meath,706
2006Q2,Offaly,403
2006Q2,Westmeath,341
2006Q2,Wexford,439
2006Q2,Wicklow,504
2006Q2,Clare,495
2006Q2,Cork,2190
2006Q2,Kerry,512
2006Q2,Limerick,370
2006Q2,Tipperary,670
2006Q2,Waterford,411
2006Q2,Galway,884
2006Q2,Leitrim,197
2006Q2,Mayo,399
2006Q2,Roscommon,276
2006Q2,Sligo,348
2006Q2,Cavan,190
2006Q2,Donegal,379
2006Q2,Monaghan,112
2006Q3,All Counties,16991
2006Q3,Carlow,273
2006Q3,Dublin,3446
2006Q3,Kildare,1061
2006Q3,Kilkenny,315
2006Q3,Laois,607
2006Q3,Longford,366
2006Q3,Louth,344
2006Q3,Meath,697
2006Q3,Offaly,98
2006Q3,Westmeath,351
2006Q3,Wexford,1039
2006Q3,Wicklow,220
2006Q3,Clare,604
2006Q3,Cork,2686
2006Q3,Kerry,348
2006Q3,Limerick,717
2006Q3,Tipperary,550
2006Q3,Waterford,337
2006Q3,Galway,826
2006Q3,Leitrim,97
2006Q3,Mayo,481
2006Q3,Roscommon,261
2006Q3,Sligo,378
2006Q3,Cavan,392
2006Q3,Donegal,328
2006Q3,Monaghan,169
